issue_description,status,priority,metadata
Application crashes when submitting a form.,open,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-03T14:36:15.191130"", ""last_updated"": ""2025-02-10T14:36:15.191132""}"
Payment processing fails for international customers.,resolved,medium,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-31T14:36:15.191137"", ""last_updated"": ""2025-02-10T14:36:15.191138""}"
Slow loading times on the website homepage.,in_progress,medium,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-25T14:36:15.191143"", ""last_updated"": ""2025-02-10T14:36:15.191145""}"
Mobile app freezes when navigating to settings.,resolved,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-01T14:36:15.191149"", ""last_updated"": ""2025-02-10T14:36:15.191151""}"
VPN connection drops intermittently for remote workers.,open,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-03T14:36:15.191155"", ""last_updated"": ""2025-02-10T14:36:15.191157""}"
Mobile app freezes when navigating to settings.,resolved,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-11T14:36:15.191161"", ""last_updated"": ""2025-02-10T14:36:15.191163""}"
Slow loading times on the website homepage.,open,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-08T14:36:15.191167"", ""last_updated"": ""2025-02-10T14:36:15.191169""}"
Users unable to reset passwords via the portal.,resolved,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-29T14:36:15.191174"", ""last_updated"": ""2025-02-10T14:36:15.191175""}"
"User cannot log in, receiving authentication error.",open,medium,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-16T14:36:15.191180"", ""last_updated"": ""2025-02-10T14:36:15.191182""}"
Email notifications are not being sent to customers.,resolved,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-28T14:36:15.191186"", ""last_updated"": ""2025-02-10T14:36:15.191188""}"
File uploads fail with unknown error message.,in_progress,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-11T14:36:15.191192"", ""last_updated"": ""2025-02-10T14:36:15.191194""}"
File uploads fail with unknown error message.,in_progress,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-15T14:36:15.191202"", ""last_updated"": ""2025-02-10T14:36:15.191204""}"
Database connection errors occur randomly.,open,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-02-07T14:36:15.191208"", ""last_updated"": ""2025-02-10T14:36:15.191210""}"
Email notifications are not being sent to customers.,resolved,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-02T14:36:15.191215"", ""last_updated"": ""2025-02-10T14:36:15.191216""}"
Users unable to reset passwords via the portal.,resolved,critical,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-05T14:36:15.191221"", ""last_updated"": ""2025-02-10T14:36:15.191222""}"
Users unable to reset passwords via the portal.,in_progress,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-16T14:36:15.191227"", ""last_updated"": ""2025-02-10T14:36:15.191229""}"
Email notifications are not being sent to customers.,resolved,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-12T14:36:15.191233"", ""last_updated"": ""2025-02-10T14:36:15.191235""}"
Database connection errors occur randomly.,in_progress,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-21T14:36:15.191239"", ""last_updated"": ""2025-02-10T14:36:15.191241""}"
VPN connection drops intermittently for remote workers.,open,high,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-23T14:36:15.191245"", ""last_updated"": ""2025-02-10T14:36:15.191247""}"
"User cannot log in, receiving authentication error.",open,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-20T14:36:15.191251"", ""last_updated"": ""2025-02-10T14:36:15.191253""}"
File uploads fail with unknown error message.,resolved,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-23T14:36:15.191257"", ""last_updated"": ""2025-02-10T14:36:15.191259""}"
Users unable to reset passwords via the portal.,resolved,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-04T14:36:15.191263"", ""last_updated"": ""2025-02-10T14:36:15.191265""}"
Email notifications are not being sent to customers.,open,medium,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-10T14:36:15.191270"", ""last_updated"": ""2025-02-10T14:36:15.191271""}"
Application crashes when submitting a form.,in_progress,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-17T14:36:15.191276"", ""last_updated"": ""2025-02-10T14:36:15.191277""}"
Users unable to reset passwords via the portal.,resolved,high,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-18T14:36:15.191282"", ""last_updated"": ""2025-02-10T14:36:15.191283""}"
File uploads fail with unknown error message.,resolved,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-29T14:36:15.191289"", ""last_updated"": ""2025-02-10T14:36:15.191291""}"
"User cannot log in, receiving authentication error.",resolved,medium,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-20T14:36:15.191295"", ""last_updated"": ""2025-02-10T14:36:15.191297""}"
Email notifications are not being sent to customers.,in_progress,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-09T14:36:15.191302"", ""last_updated"": ""2025-02-10T14:36:15.191303""}"
Users unable to reset passwords via the portal.,resolved,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-02T14:36:15.191308"", ""last_updated"": ""2025-02-10T14:36:15.191309""}"
Mobile app freezes when navigating to settings.,open,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-10T14:36:15.191314"", ""last_updated"": ""2025-02-10T14:36:15.191316""}"
Users unable to reset passwords via the portal.,resolved,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-10T14:36:15.191321"", ""last_updated"": ""2025-02-10T14:36:15.191322""}"
VPN connection drops intermittently for remote workers.,resolved,high,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-08T14:36:15.191327"", ""last_updated"": ""2025-02-10T14:36:15.191328""}"
"User cannot log in, receiving authentication error.",open,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-11T14:36:15.191333"", ""last_updated"": ""2025-02-10T14:36:15.191335""}"
Application crashes when submitting a form.,in_progress,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-17T14:36:15.191340"", ""last_updated"": ""2025-02-10T14:36:15.191341""}"
Slow loading times on the website homepage.,in_progress,medium,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-07T14:36:15.191346"", ""last_updated"": ""2025-02-10T14:36:15.191348""}"
Payment processing fails for international customers.,open,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-01T14:36:15.191353"", ""last_updated"": ""2025-02-10T14:36:15.191354""}"
Application crashes when submitting a form.,resolved,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-11T14:36:15.191359"", ""last_updated"": ""2025-02-10T14:36:15.191361""}"
Database connection errors occur randomly.,resolved,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-21T14:36:15.191365"", ""last_updated"": ""2025-02-10T14:36:15.191367""}"
Slow loading times on the website homepage.,resolved,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-15T14:36:15.191371"", ""last_updated"": ""2025-02-10T14:36:15.191373""}"
VPN connection drops intermittently for remote workers.,in_progress,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-19T14:36:15.191378"", ""last_updated"": ""2025-02-10T14:36:15.191379""}"
VPN connection drops intermittently for remote workers.,in_progress,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-30T14:36:15.191384"", ""last_updated"": ""2025-02-10T14:36:15.191386""}"
Slow loading times on the website homepage.,resolved,critical,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-13T14:36:15.191390"", ""last_updated"": ""2025-02-10T14:36:15.191392""}"
Email notifications are not being sent to customers.,in_progress,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-05T14:36:15.191396"", ""last_updated"": ""2025-02-10T14:36:15.191398""}"
Database connection errors occur randomly.,resolved,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-27T14:36:15.191402"", ""last_updated"": ""2025-02-10T14:36:15.191404""}"
Application crashes when submitting a form.,resolved,critical,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-10T14:36:15.191408"", ""last_updated"": ""2025-02-10T14:36:15.191410""}"
Mobile app freezes when navigating to settings.,open,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-24T14:36:15.191414"", ""last_updated"": ""2025-02-10T14:36:15.191416""}"
"User cannot log in, receiving authentication error.",open,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-14T14:36:15.191420"", ""last_updated"": ""2025-02-10T14:36:15.191422""}"
Email notifications are not being sent to customers.,open,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-02-08T14:36:15.191426"", ""last_updated"": ""2025-02-10T14:36:15.191428""}"
"User cannot log in, receiving authentication error.",in_progress,medium,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-16T14:36:15.191433"", ""last_updated"": ""2025-02-10T14:36:15.191434""}"
Database connection errors occur randomly.,resolved,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-27T14:36:15.191439"", ""last_updated"": ""2025-02-10T14:36:15.191441""}"
File uploads fail with unknown error message.,in_progress,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-13T14:36:15.191445"", ""last_updated"": ""2025-02-10T14:36:15.191447""}"
Database connection errors occur randomly.,resolved,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-01T14:36:15.191451"", ""last_updated"": ""2025-02-10T14:36:15.191453""}"
Payment processing fails for international customers.,in_progress,high,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-04T14:36:15.191457"", ""last_updated"": ""2025-02-10T14:36:15.191459""}"
Users unable to reset passwords via the portal.,in_progress,high,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-01T14:36:15.191464"", ""last_updated"": ""2025-02-10T14:36:15.191465""}"
Slow loading times on the website homepage.,open,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-02-04T14:36:15.191470"", ""last_updated"": ""2025-02-10T14:36:15.191471""}"
"User cannot log in, receiving authentication error.",resolved,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-10T14:36:15.191476"", ""last_updated"": ""2025-02-10T14:36:15.191478""}"
Payment processing fails for international customers.,open,critical,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-02-03T14:36:15.191482"", ""last_updated"": ""2025-02-10T14:36:15.191484""}"
Application crashes when submitting a form.,open,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-29T14:36:15.191488"", ""last_updated"": ""2025-02-10T14:36:15.191490""}"
Application crashes when submitting a form.,resolved,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-22T14:36:15.191495"", ""last_updated"": ""2025-02-10T14:36:15.191496""}"
Users unable to reset passwords via the portal.,open,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-27T14:36:15.191501"", ""last_updated"": ""2025-02-10T14:36:15.191502""}"
Payment processing fails for international customers.,in_progress,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-03T14:36:15.191507"", ""last_updated"": ""2025-02-10T14:36:15.191509""}"
Database connection errors occur randomly.,in_progress,medium,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-28T14:36:15.191513"", ""last_updated"": ""2025-02-10T14:36:15.191515""}"
Database connection errors occur randomly.,in_progress,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-31T14:36:15.191520"", ""last_updated"": ""2025-02-10T14:36:15.191521""}"
Slow loading times on the website homepage.,in_progress,medium,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-27T14:36:15.191526"", ""last_updated"": ""2025-02-10T14:36:15.191527""}"
Email notifications are not being sent to customers.,in_progress,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-29T14:36:15.191532"", ""last_updated"": ""2025-02-10T14:36:15.191533""}"
"User cannot log in, receiving authentication error.",in_progress,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-17T14:36:15.191540"", ""last_updated"": ""2025-02-10T14:36:15.191541""}"
VPN connection drops intermittently for remote workers.,in_progress,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-27T14:36:15.191546"", ""last_updated"": ""2025-02-10T14:36:15.191548""}"
File uploads fail with unknown error message.,resolved,high,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-08T14:36:15.191553"", ""last_updated"": ""2025-02-10T14:36:15.191555""}"
Users unable to reset passwords via the portal.,resolved,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-22T14:36:15.191560"", ""last_updated"": ""2025-02-10T14:36:15.191561""}"
Database connection errors occur randomly.,resolved,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-09T14:36:15.191566"", ""last_updated"": ""2025-02-10T14:36:15.191567""}"
Database connection errors occur randomly.,open,high,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-24T14:36:15.191572"", ""last_updated"": ""2025-02-10T14:36:15.191574""}"
Payment processing fails for international customers.,in_progress,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-01T14:36:15.191578"", ""last_updated"": ""2025-02-10T14:36:15.191580""}"
Application crashes when submitting a form.,open,high,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-17T14:36:15.191585"", ""last_updated"": ""2025-02-10T14:36:15.191586""}"
Users unable to reset passwords via the portal.,resolved,medium,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-02-09T14:36:15.191591"", ""last_updated"": ""2025-02-10T14:36:15.191592""}"
Payment processing fails for international customers.,resolved,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-13T14:36:15.191597"", ""last_updated"": ""2025-02-10T14:36:15.191599""}"
Database connection errors occur randomly.,resolved,medium,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-17T14:36:15.191603"", ""last_updated"": ""2025-02-10T14:36:15.191605""}"
Application crashes when submitting a form.,open,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-31T14:36:15.191611"", ""last_updated"": ""2025-02-10T14:36:15.191613""}"
Application crashes when submitting a form.,in_progress,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-03T14:36:15.191617"", ""last_updated"": ""2025-02-10T14:36:15.191619""}"
File uploads fail with unknown error message.,in_progress,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-05T14:36:15.191624"", ""last_updated"": ""2025-02-10T14:36:15.191625""}"
Payment processing fails for international customers.,resolved,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-20T14:36:15.191630"", ""last_updated"": ""2025-02-10T14:36:15.191632""}"
File uploads fail with unknown error message.,open,critical,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-06T14:36:15.191636"", ""last_updated"": ""2025-02-10T14:36:15.191638""}"
File uploads fail with unknown error message.,open,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-19T14:36:15.191642"", ""last_updated"": ""2025-02-10T14:36:15.191644""}"
Users unable to reset passwords via the portal.,resolved,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-24T14:36:15.191649"", ""last_updated"": ""2025-02-10T14:36:15.191650""}"
VPN connection drops intermittently for remote workers.,in_progress,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-07T14:36:15.191655"", ""last_updated"": ""2025-02-10T14:36:15.191657""}"
Database connection errors occur randomly.,resolved,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-31T14:36:15.191662"", ""last_updated"": ""2025-02-10T14:36:15.191663""}"
Database connection errors occur randomly.,resolved,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-03T14:36:15.191668"", ""last_updated"": ""2025-02-10T14:36:15.191670""}"
Email notifications are not being sent to customers.,open,critical,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-31T14:36:15.191674"", ""last_updated"": ""2025-02-10T14:36:15.191676""}"
Mobile app freezes when navigating to settings.,resolved,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-03T14:36:15.191680"", ""last_updated"": ""2025-02-10T14:36:15.191682""}"
Mobile app freezes when navigating to settings.,resolved,medium,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-21T14:36:15.191686"", ""last_updated"": ""2025-02-10T14:36:15.191688""}"
Mobile app freezes when navigating to settings.,in_progress,critical,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-14T14:36:15.191692"", ""last_updated"": ""2025-02-10T14:36:15.191694""}"
Email notifications are not being sent to customers.,open,high,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-23T14:36:15.191698"", ""last_updated"": ""2025-02-10T14:36:15.191700""}"
Database connection errors occur randomly.,open,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-16T14:36:15.191705"", ""last_updated"": ""2025-02-10T14:36:15.191706""}"
VPN connection drops intermittently for remote workers.,open,high,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-19T14:36:15.191711"", ""last_updated"": ""2025-02-10T14:36:15.191712""}"
File uploads fail with unknown error message.,open,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-15T14:36:15.191717"", ""last_updated"": ""2025-02-10T14:36:15.191718""}"
Database connection errors occur randomly.,in_progress,medium,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-06T14:36:15.191723"", ""last_updated"": ""2025-02-10T14:36:15.191725""}"
Database connection errors occur randomly.,open,medium,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-12T14:36:15.191729"", ""last_updated"": ""2025-02-10T14:36:15.191731""}"
Slow loading times on the website homepage.,open,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-31T14:36:15.191735"", ""last_updated"": ""2025-02-10T14:36:15.191737""}"
Mobile app freezes when navigating to settings.,open,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-17T14:36:15.191741"", ""last_updated"": ""2025-02-10T14:36:15.191743""}"
Email notifications are not being sent to customers.,resolved,critical,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-31T14:36:15.191747"", ""last_updated"": ""2025-02-10T14:36:15.191749""}"
Users unable to reset passwords via the portal.,in_progress,high,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-02-07T14:36:15.191753"", ""last_updated"": ""2025-02-10T14:36:15.191755""}"
Email notifications are not being sent to customers.,resolved,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-09T14:36:15.191759"", ""last_updated"": ""2025-02-10T14:36:15.191761""}"
Email notifications are not being sent to customers.,in_progress,high,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-22T14:36:15.191766"", ""last_updated"": ""2025-02-10T14:36:15.191767""}"
Slow loading times on the website homepage.,open,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-01T14:36:15.191772"", ""last_updated"": ""2025-02-10T14:36:15.191773""}"
Slow loading times on the website homepage.,resolved,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-19T14:36:15.191778"", ""last_updated"": ""2025-02-10T14:36:15.191780""}"
Users unable to reset passwords via the portal.,in_progress,medium,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-02-02T14:36:15.191784"", ""last_updated"": ""2025-02-10T14:36:15.191786""}"
Application crashes when submitting a form.,in_progress,low,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-26T14:36:15.191790"", ""last_updated"": ""2025-02-10T14:36:15.191792""}"
Slow loading times on the website homepage.,resolved,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-20T14:36:15.191797"", ""last_updated"": ""2025-02-10T14:36:15.191798""}"
